# z 	 DM_ext
0.218642	172.343108
0.094854	196.754665
0.207259	172.641332
0.115081	97.779391
0.101418	125.763660
0.013978	21.799057
0.231874	133.898859
0.056063	128.946517
0.034948	46.026943
0.070332	39.966100
0.054105	37.119183
0.002706	25.976257
0.458650	598.454474
0.332690	302.355286
0.112302	74.443343
0.282196	251.434648
0.298463	569.838082
0.086750	95.065215
0.467866	363.760639
0.038604	62.734146
0.031083	66.286168
0.411119	96.068072
0.193670	217.635540
0.053192	126.997092
0.144112	92.601196
0.130168	294.242043
0.114382	148.100207
0.052669	73.890814
0.051807	162.675616
0.348424	184.020651
0.102209	174.111239
0.372876	536.365206
0.009837	30.099099
0.303631	25.185380
0.034592	49.556397
0.253296	126.896969
0.040385	62.123052
0.302812	402.147857
0.024564	38.826161
0.117640	165.503252
0.013366	14.843335
0.074050	24.567043
0.359959	539.737826
0.013435	25.865531
0.354751	285.852415
0.007404	27.512191
0.354024	395.507725
0.083598	150.086538
0.048081	37.482962
0.506197	403.252612
0.119259	140.636222
0.223775	292.504470
0.079546	259.350814
0.427958	486.088017
0.238541	87.680955
0.261011	221.414028
0.134516	95.247192
0.205432	140.045136
0.134379	175.136325
0.125183	103.828408
0.348651	288.749933
0.246196	526.478048
0.075819	163.683420
0.349922	257.424536
0.225139	167.758535
0.219343	338.983512
0.127518	259.363568
0.028286	56.512833
0.323775	325.471536
0.472201	637.831229
0.054067	157.435971
0.086888	42.299342
0.053879	136.174021
0.016846	42.195552
0.612076	571.656804
0.084491	69.222443
0.343896	389.841392
0.408227	344.388882
0.037338	29.445757
0.551247	912.572738
0.096723	183.348125
0.308549	313.579173
0.414084	235.893135
0.081971	108.045078
0.035582	72.255543
0.061453	51.667559
0.339752	301.242463
0.117327	58.713246
0.089027	78.173741
0.275879	459.302053
0.023726	19.741537
0.049374	18.139991
0.012609	25.370620
0.193752	237.446574
0.133155	106.768978
0.103380	160.730020
0.022040	12.105065
0.051722	58.638302
0.133949	78.577949
0.138467	107.817550
0.276911	241.709454
0.006131	15.920125
0.326038	153.602180
0.062439	32.765535
0.198099	271.518821
0.557673	545.986752
0.123317	101.356483
0.522816	442.863968
0.149739	228.914120
0.050464	40.783952
0.207759	225.526249
0.102491	91.950339
0.157790	270.413128
0.106854	190.688663
0.005075	14.328169
0.193178	166.457315
0.071625	114.420325
0.343857	422.509684
0.452380	403.599697
0.048749	133.548540
0.019542	96.728103
0.050030	92.882056
0.035693	84.606233
0.062228	105.598793
0.121022	132.500703
0.315863	282.659954
0.504033	431.150170
0.377001	627.348955
0.025013	47.531012
0.129629	137.065279
0.049763	96.551642
0.358009	466.447122
0.178131	128.305657
0.054252	30.172771
0.316869	470.433114
0.353660	506.060532
0.103139	358.222474
0.261638	34.284844
0.149750	172.224113
0.100081	168.586346
0.103499	144.826972
0.066377	123.699137
0.180480	77.156173
0.129121	32.876814
0.245999	107.827972
0.254075	218.726421
0.251184	202.618549
0.078499	183.485706
0.044047	15.810274
0.056446	75.045296
0.153764	346.840332
0.330050	342.397869
0.319428	203.617266
0.183278	135.849220
0.084465	127.167076
0.143063	10.596868
0.282679	569.444116
0.055980	79.367601
0.136573	207.591410
0.072226	86.616504
0.054819	178.583821
0.127663	161.789522
0.085023	128.850073
0.187565	342.855747
0.086584	199.226381
0.114911	30.154362
0.015985	17.297286
0.295017	207.395001
0.300210	41.575474
0.043941	120.244028
0.049908	66.112518
0.162515	134.306791
0.075657	34.025314
0.181476	468.858804
0.478602	660.829109
0.047144	80.199352
0.316733	528.709544
0.036275	76.852400
0.056084	92.748135
0.163926	89.751184
0.245572	328.729095
0.466103	511.824042
0.610390	775.509210
0.096715	128.256336
0.134991	322.552411
0.191327	250.361071
0.128543	160.370728
0.095494	194.942877
0.069593	69.678275
0.248809	188.549967
0.469253	479.704913
0.012570	23.982953
0.104957	78.838341
0.013185	34.116666
0.234795	354.070779
0.054290	91.653283
0.414362	446.651506
0.114529	99.848870
0.237805	430.764032
0.045671	96.379868
0.156998	172.571079
0.155156	222.769292
0.203743	188.083915
0.063603	15.367838
0.383051	262.962855
0.192041	71.125030
0.449828	483.695144
0.016661	34.640720
0.158405	144.240760
0.109672	137.082217
0.621817	366.334047
0.254240	359.957756
0.130819	25.440637
0.239643	288.302414
0.081383	91.500935
0.211870	119.936640
0.068700	94.526400
0.155658	254.567144
0.051498	59.124166
0.040070	88.034505
0.319784	171.141832
0.027369	47.906424
0.208620	337.193870
0.301983	328.926704
0.085587	41.008530
0.436190	521.604912
0.403144	136.085861
0.085022	192.040597
0.020867	65.509673
0.224778	264.427110
0.126459	259.881092
0.165605	53.540989
0.222432	139.386326
0.014814	28.304801
0.079338	178.282432
0.568802	601.418187
0.170907	163.993996
0.237251	129.735838
0.156178	257.347726
0.230537	29.116315
0.395715	329.388568
0.004017	7.360818
0.283953	143.367230
0.128450	80.661606
0.330677	347.610579
0.089267	91.377867
0.085053	118.983307
0.025637	48.930706
0.132212	262.760105
0.022937	18.913914
0.119830	37.367665
0.165387	126.916606
0.057289	79.697480
0.011728	10.414374
0.006551	27.062199
0.037345	67.823893
0.005443	18.816582
0.160765	136.276463
0.024861	37.682805
0.154453	255.812167
0.189866	128.464776
0.013317	16.018149
0.168514	19.904922
0.073319	102.814551
0.538580	759.319800
0.006569	5.539959
0.074989	116.328134
0.047759	115.943275
0.197944	214.383342
0.000819	13.961097
0.524387	1058.031737
0.190135	51.746365
0.176999	123.018374
0.026985	72.143093
0.298508	230.645676
0.270773	434.245151
0.428221	385.090633
0.097206	188.713522
0.011496	39.372831
0.060638	76.117794
0.342039	355.701073
0.075737	60.385767
0.305314	146.688047
0.653814	805.229564
0.081136	173.075521
0.216057	349.189244
0.037824	107.040829
0.320709	514.938552
0.232457	339.905455
0.289370	496.391656
0.090554	53.562229
0.161367	236.636050
0.152484	243.288175
0.091090	64.143466
0.171770	332.619466
0.204235	12.518330
0.243174	236.593915
0.088424	8.114355
0.304856	329.293517
0.286529	283.968647
0.247757	312.371261
0.327293	454.709045
0.115411	204.477804
0.030292	63.600672
0.287625	120.808113
0.070738	88.984821
0.012812	31.160301
0.073260	125.087669
0.167837	225.700765
0.489426	363.499606
0.206034	171.694446
0.325507	606.749075
0.281718	449.945779
0.196214	98.484138
0.105267	129.575708
0.037621	55.011902
0.075827	94.713991
0.102919	139.672757
0.124835	171.642394
0.073389	226.779539
0.236234	402.784458
0.075014	173.100355
0.100248	166.584724
0.068021	8.454113
0.097736	108.430901
0.028085	37.570517
0.018626	53.148963
0.582027	883.086109
0.327130	313.475802
0.506755	431.561310
0.546317	498.697046
0.045123	79.613488
0.487939	400.087311
0.380696	663.761828
0.096776	103.425103
0.204010	497.144561
0.316972	150.774170
0.257130	146.115614
0.125900	143.794576
0.170455	311.290355
0.228358	187.052221
0.093327	198.818285
0.253264	255.055240
0.060733	147.424627
0.501541	408.937171
0.365084	365.090480
0.322991	240.190444
0.213473	152.497795
0.183283	173.871623
0.377545	325.604453
0.032791	83.289189
0.051495	117.400468
0.259183	221.582258
0.139005	403.085869
0.073765	267.912773
0.403310	647.825932
0.165628	215.273585
0.203418	195.838715
0.412124	344.083781
0.123826	16.420076
0.037470	60.735425
0.401143	429.405549
0.079585	117.275862
0.346585	383.982012
0.062095	32.566598
0.018249	34.796326
0.350681	297.982308
0.097430	128.791098
0.019602	19.537150
0.365695	80.080945
0.182021	323.303824
0.097038	62.311317
0.214145	254.180929
0.122800	243.721835
0.106939	73.701629
0.313697	285.190558
0.184148	176.268796
0.057076	23.947709
0.143381	142.692538
0.309432	306.059949
0.035467	9.940908
0.435618	439.815298
0.177579	82.947014
0.163784	310.391152
0.172481	238.903673
0.605868	301.804718
0.144398	251.854531
0.098543	91.784839
0.125456	85.379861
0.350539	261.843727
0.269373	324.350582
0.146794	64.703533
0.249152	72.492513
0.047603	88.401004
0.272726	603.250064
0.106837	136.768588
