# z	DM_HG
1.803544	4.988908
0.426843	62.359518
1.499389	81.134899
1.276441	61.985893
0.889051	28.444518
1.636161	41.153883
0.777706	40.324728
1.109164	23.594758
1.548081	7.519831
0.988458	5.229975
1.769943	5.872879
1.785601	26.151794
0.760488	7.328029
1.145946	17.419167
1.133265	67.603890
1.099855	9.904796
1.238399	51.476811
0.484001	23.652052
1.792807	14.348863
0.910767	25.856746
0.118752	6.209795
1.510975	24.478215
1.459268	2.263344
1.972601	35.964744
1.562190	32.601735
0.979712	42.673104
1.923343	73.537293
1.030986	69.937250
1.717217	54.331286
0.984416	44.141080
0.406022	7.016067
1.584084	48.820049
1.007331	58.635658
0.989499	106.529560
1.557084	24.979543
0.962727	27.631457
0.591597	31.883932
1.091397	18.089462
1.721217	19.724802
0.618351	31.363759
1.316576	25.792691
0.622756	9.036543
0.407629	2.647817
1.051720	13.839708
1.470316	35.428312
0.886136	4.315270
1.154015	31.574478
1.222500	48.420756
1.748137	39.181854
1.713733	4.356141
0.130141	15.265628
1.105765	7.028368
1.467644	68.498752
1.765342	68.226573
0.406664	19.182449
1.426180	25.727510
1.749265	10.526691
0.852710	27.264180
0.765447	35.919484
1.187316	31.764438
1.939347	125.793409
1.522626	3.588806
1.121844	29.287336
0.290446	14.730172
1.319912	8.416074
1.005097	27.346682
0.729377	11.493929
1.235675	15.881000
0.993439	15.167298
0.370114	9.759537
1.571609	18.116700
1.582271	2.852757
1.412176	8.100671
1.747410	19.999599
0.761674	10.694738
0.904671	6.678752
1.173495	27.450626
0.442890	23.734208
1.813902	38.651407
1.221450	40.018601
0.966918	5.912391
1.202489	32.048788
0.967662	22.095293
0.904773	12.053035
1.157467	40.936214
1.208394	21.828602
1.135285	79.769471
1.306841	12.145895
1.659249	48.588729
0.433902	23.589441
1.702275	1.584847
0.806954	6.999132
0.847640	46.598516
1.383398	15.922078
1.960468	27.513609
0.270957	3.733899
1.493079	53.748919
1.528635	45.969865
1.345055	8.372219
0.217486	20.395063
1.393627	64.960011
0.584858	17.205604
0.494089	82.455946
1.527383	29.430169
1.533638	61.086341
1.823884	22.725000
0.148225	7.356805
1.051797	19.081950
0.237496	13.946406
1.029922	11.851842
1.222989	6.035677
1.279769	9.827557
1.016297	30.458961
1.571300	13.018047
1.108319	23.612303
1.261001	34.354119
1.684760	19.102347
0.707702	14.235315
0.960900	12.035432
1.267412	35.840052
1.635276	16.971079
1.123166	11.784533
0.479568	25.093170
1.981805	26.698890
1.545155	21.882915
1.567437	31.728908
1.183193	12.586851
1.305517	75.755929
1.990295	33.415372
1.376935	5.637769
0.790000	30.511337
1.942245	106.219411
1.291722	53.377942
0.289429	17.057022
1.344609	8.131946
0.473137	17.047451
1.276582	16.609519
1.723507	21.112712
1.293363	27.697445
1.043581	5.908418
1.812436	56.528740
1.883390	12.775034
1.003058	37.340052
1.233887	48.000660
1.972212	16.415415
0.714971	38.532609
0.924220	9.449907
1.127821	31.459028
0.551946	38.432420
0.881235	10.563039
1.302021	55.731809
0.806890	19.664037
1.512742	8.033921
1.003342	23.659610
0.524661	4.088410
1.630593	38.730541
1.335794	27.277591
1.722795	27.876283
1.022890	27.533357
0.282341	25.917495
0.399088	7.688249
1.677669	54.560461
1.100765	49.704525
1.961624	77.538907
1.731176	28.788845
0.263217	1.957578
1.792698	39.081958
0.779176	26.345589
1.214922	36.511397
1.244591	20.153968
0.441501	18.426552
0.608517	67.794737
1.119659	39.631524
1.447572	28.621472
0.868478	31.600148
1.274815	46.250850
1.052378	6.441035
1.429327	10.941051
1.121771	35.089527
1.764158	72.028446
1.973545	25.001490
1.860341	9.538045
0.696686	58.757493
1.171271	24.280753
1.173739	20.128078
1.746863	16.652248
1.018262	32.922452
1.309325	21.321951
1.397977	29.445456
0.576877	34.746412
1.321747	48.135146
0.838673	12.582362
0.767914	53.921724
0.844612	19.037917
0.548250	37.567205
0.471024	15.315692
1.453895	50.289213
1.904719	52.786504
1.515309	27.973575
0.946397	57.568865
0.983422	20.644129
1.297115	47.630372
1.786964	17.938678
0.760368	6.184788
1.188310	1.266610
1.233881	36.259244
1.889168	55.796910
1.289327	44.796861
1.655410	61.851960
0.519599	1.577818
0.970521	37.120434
1.401164	4.973195
1.499810	63.347448
1.816513	18.079062
1.369965	92.596498
0.910217	21.193504
1.293704	58.426997
1.550590	25.471824
1.660721	29.443523
1.910480	55.033972
0.738797	14.886840
1.474883	23.679256
0.756430	29.502189
0.956061	78.628835
0.644861	5.527864
1.643443	23.262325
1.861840	33.532008
0.334171	9.213458
1.705328	41.702248
0.829934	33.504957
1.215976	25.563849
1.605881	50.843690
1.245685	34.855203
0.811707	17.203871
1.849463	37.719489
1.374657	52.247544
1.889219	32.260030
1.756420	32.513217
1.803015	93.498224
1.025325	83.127178
1.979342	54.040137
1.765340	54.864270
0.987475	4.004700
1.834102	4.065423
1.616586	10.949398
1.571053	20.690250
0.184834	5.703087
0.299374	34.248386
1.525481	121.258720
0.892267	9.955033
0.437794	21.571496
0.904259	45.905704
1.742910	40.929021
1.191463	47.871939
1.407341	68.745595
1.685400	71.246253
0.964862	14.530649
0.229106	13.863246
0.964776	88.939117
1.929860	13.698691
1.208964	46.325380
1.339346	20.248602
1.624369	8.403300
0.584659	5.744275
1.584312	33.921964
0.923571	22.295221
1.066306	42.925132
0.876976	41.925003
0.666888	6.432060
1.024933	48.622265
0.536751	2.869785
1.753534	7.176161
0.936862	27.835504
1.463956	24.866647
0.921847	37.674250
0.775292	52.556359
1.553786	49.410603
1.419867	12.778561
0.788534	25.046780
1.402164	25.497671
0.170693	16.559140
0.712707	20.219043
1.574994	39.165411
1.100016	34.617710
0.762489	16.842078
1.244286	75.925030
1.183362	39.039034
1.434643	1.671508
0.478931	24.735044
1.714302	21.159826
0.437046	20.495766
1.166267	4.174842
1.549002	74.743438
0.998842	13.393287
1.855704	2.208130
1.616493	24.079748
1.124218	18.675689
0.725825	15.934656
0.387602	5.849013
1.687173	53.728914
0.745330	15.894261
0.877284	29.743952
0.223099	11.086389
0.275800	4.083398
0.810253	41.587316
1.797205	76.740952
1.655355	42.376313
1.638700	45.505133
1.726131	49.129857
0.731066	22.911705
1.965961	42.074874
0.813352	46.483979
0.659570	64.243228
0.918502	28.318962
1.280847	12.746567
0.605816	46.630776
1.591380	29.041805
1.040592	5.956531
1.337279	16.932370
1.584764	53.759275
1.842727	114.143549
1.714298	24.527407
1.291284	41.583559
1.985614	48.847490
1.279784	17.373342
1.289058	19.920589
0.676785	26.884239
0.657107	33.862344
0.696875	81.516919
1.372041	50.747829
1.107675	24.344840
1.062798	15.425280
0.612635	12.128499
1.055399	10.732176
1.050607	8.561533
1.415124	148.379135
1.066688	38.029059
1.113142	7.236705
0.882069	36.131219
0.621140	6.845770
0.927241	43.173369
0.385166	176.694887
0.762636	26.685171
0.967379	30.051817
0.650811	12.127526
1.480889	58.857323
0.895710	5.929476
1.407264	34.364734
1.449455	9.484634
1.156366	30.686271
1.159109	75.224404
1.356657	7.676276
0.865182	58.810344
0.292481	7.169236
1.451152	12.945036
1.396857	32.367178
1.200118	87.138587
1.801730	32.353665
1.248326	4.842330
0.932894	48.082825
1.553598	14.722418
1.939064	48.572728
